"Av Value" Frequency
0.8200000000000001 0.005610098176718092
1.32 0.011220196353436185
1.82 0.002805049088359046
2.32 0.009817671809256667
2.82 0.014025245441795231
3.32 0.014025245441795231
3.82 0.016830294530154277
4.32 0.025245441795231395
4.82 0.005610098176718092
5.32 0.011220196353436185
5.82 0.005610098176718092
6.32 0.009817671809256662
6.82 0.001402524544179523
7.32 0.002805049088359046
7.82 0.0070126227208976155
8.32 0.009817671809256662
8.82 0.009817671809256662
9.32 0.009817671809256662
9.82 0.02244039270687237
10.32 0.021037868162692847
10.82 0.025245441795231416
11.32 0.033660589060308554
11.82 0.03506311360448808
12.32 0.029453015427769985
12.82 0.030855539971949508
13.32 0.04908835904628331
13.82 0.033660589060308554
14.32 0.04908835904628331
14.82 0.037868162692847124
15.32 0.047685834502103785
15.82 0.047685834502103785
16.32 0.043478260869565216
16.82 0.0546984572230014
17.32 0.037868162692847124
17.82 0.0546984572230014
18.32 0.06311360448807854
18.82 0.033660589060308554
19.32 0.05329593267882188
19.82 0.03506311360448808
20.32 0.04628330995792426
20.82 0.029453015427769985
21.32 0.03927068723702665
21.82 0.04207573632538569
22.32 0.033660589060308554
22.82 0.0364656381486676
23.32 0.05750350631136045
23.82 0.0364656381486676
24.32 0.04067321178120617
24.82 0.04207573632538569
25.32 0.030855539971949508
25.82 0.030855539971949508
26.32 0.04067321178120617
26.82 0.04908835904628331
27.32 0.047685834502103785
27.82 0.025245441795231416
28.32 0.03927068723702665
28.82 0.047685834502103785
29.32 0.051893408134642355
29.82 0.05329593267882188
30.32 0.07713884992987377
30.82 0.091164095371669
